SGB	Classification	Taxonomy	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
SGB17138_group	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_sp_oral_taxon_181-t__SGB17138	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_sp_oral_taxon_181	SGB17138
SGB17138_group	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Trueperella-s__Trueperella_pyogenes-t__SGB17137	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella_pyogenes	SGB17137
SGB17161_group	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Schaalia-s__Schaalia_odontolytica-t__SGB17161	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia_odontolytica	SGB17161
SGB17161_group	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_sp_HMSC035G02-t__SGB17158	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_sp_HMSC035G02	SGB17158
SGB17161_group	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Micrococcales-f__Sanguibacteraceae-g__Sanguibacter-s__Sanguibacter_keddieii-t__SGB17159	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Sanguibacteraceae	Sanguibacter	Sanguibacter_keddieii	SGB17159
SGB17161_group	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Schaalia-s__Schaalia_odontolytica-t__SGB17164	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia_odontolytica	SGB17164
SGB2502_group	kSGB	k__Bacteria-p__Bacteroidetes-c__Flavobacteriia-o__Flavobacteriales-f__Flavobacteriaceae-g__Capnocytophaga-s__Capnocytophaga_sputigena-t__SGB2502	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga_sputigena	SGB2502
SGB2502_group	kSGB	k__Bacteria-p__Bacteroidetes-c__Flavobacteriia-o__Flavobacteriales-f__Flavobacteriaceae-g__Capnocytophaga-s__Capnocytophaga_SGB2499-t__SGB2499	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga_SGB2499	SGB2499
SGB2524_group	uSGB	k__Bacteria-p__Bacteroidetes-c__Flavobacteriia-o__Flavobacteriales-f__Flavobacteriaceae-g__GGB1843-s__GGB1843_SGB2524-t__SGB2524	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	GGB1843	GGB1843_SGB2524	SGB2524
SGB2524_group	uSGB	k__Bacteria-p__Bacteroidetes-c__Flavobacteriia-o__Flavobacteriales-f__Flavobacteriaceae-g__GGB1843-s__GGB1843_SGB2517-t__SGB2517	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	GGB1843	GGB1843_SGB2517	SGB2517
SGB2524_group	uSGB	k__Bacteria-p__Bacteroidetes-c__Flavobacteriia-o__Flavobacteriales-f__Flavobacteriaceae-g__GGB1843-s__GGB1843_SGB2516-t__SGB2516	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	GGB1843	GGB1843_SGB2516	SGB2516
